no,name,attributes,ability_name,ability_desc,strong_against,weak_to,resists,resisted_by,skills,image
45,卡卡虫(冰),"草,冰",诈死,自己力竭时，少损失1点魔力。,"地,草,水,光","虫,火,毒,翼,武,机械","水,光,电","火,机械,冰,毒,虫",冰锥;力量增效;筛管奔流;冰捆缚;顶端优势;丰饶;暴风雪;速冻;天旋地转;盛开;孢子爆散;冰雹;抽枝;冬至;猛烈撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;冰晶坠;取念;垂死反击;富养化;尾后针;摇篮曲;晒太阳;热身运动;虫击;虫群智慧;连续爪击;防御;魔爪,images/sprites/卡卡虫_草地附近的样子.png
45,卡卡虫(地),"草,地",诈死,自己力竭时，少损失1点魔力。,"水,光,地,冰,电","虫,冰,草,武,机械","地,光,电,普通","草,龙,虫,武,翼,机械",力量增效;落石;震击;石肤术;筛管奔流;富养化;顶端优势;丰饶;天旋地转;盛开;孢子爆散;地刺;抽枝;猛烈撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;取念;垂死反击;尾后针;岩脉崩毁;摇篮曲;晒太阳;热身运动;虫击;虫群智慧;连续爪击;钧势;防御;魔爪,images/sprites/卡卡虫_草地附近的样子.png
45,卡卡虫(火),"草,火",诈死,自己力竭时，少损失1点魔力。,,"火,毒,翼","光,电,草,萌,机械",,,images/sprites/卡卡虫_草地附近的样子.png
46,卡瓦重,草,诈死,自己力竭时，少损失1点魔力。,"光,地,水","虫,火,冰,毒,翼","水,地,光,电","火,毒,虫,翼,龙,机械",力量增效;防御;筛管奔流;顶端优势;棘刺;天旋地转;富养化;藤绞;主场优势;孢子爆散;丰饶;抽枝;盛开;猛烈撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;偷袭;取念;垂死反击;尾后针;摇篮曲;晒太阳;移花接木;精神扰乱;聒噪;虫击;虫群智慧;连续爪击;魔爪,images/sprites/卡瓦重_草地附近的样子.png
46,卡瓦重(冰),"草,冰",诈死,自己力竭时，少损失1点魔力。,"地,草,水,光","虫,火,毒,翼,武,机械","水,光,电","火,机械,冰,毒,虫",冰锥;力量增效;筛管奔流;冰捆缚;顶端优势;丰饶;暴风雪;速冻;天旋地转;盛开;孢子爆散;冰雹;抽枝;冬至;猛烈撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;冰晶坠;取念;垂死反击;富养化;尾后针;摇篮曲;晒太阳;热身运动;虫击;虫群智慧;连续爪击;防御;魔爪,images/sprites/卡瓦重_草地附近的样子.png
46,卡瓦重(地),"草,地",诈死,自己力竭时，少损失1点魔力。,"水,光,地,冰,电","虫,冰,草,武,机械","地,光,电,普通","草,龙,虫,武,翼,机械",力量增效;落石;震击;石肤术;筛管奔流;富养化;顶端优势;丰饶;天旋地转;盛开;孢子爆散;地刺;抽枝;猛烈撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;荆棘爪;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;取念;垂死反击;尾后针;岩脉崩毁;摇篮曲;晒太阳;热身运动;虫击;虫群智慧;连续爪击;钧势;防御;魔爪,images/sprites/卡瓦重_草地附近的样子.png
46,卡瓦重(火),"草,火",诈死,自己力竭时，少损失1点魔力。,,"火,毒,翼","光,电,草,萌,机械",,,images/sprites/卡瓦重_草地附近的样子.png
47,护主犬,火,专注力,入场首回合，获得物攻+100%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",防御;火苗;引燃;流星火雨;力量增效;当头棒喝;焚烧烙印;高温回火;怒火;灼伤;热身;火云车;闪燃;拍击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;幻象;花香;冷风;噬心;虹光冲击;离子震荡;魅惑;念力膨胀;扬沙;溃烂触碰;泡沫;风矢;借用;偷袭;吞噬;导电撞击;摇篮曲;撕咬;晒太阳;诋毁;贪婪;跌落;过载回路;闪光冲击;麻痹,images/sprites/护主犬.png
48,音速犬,火,专注力,入场首回合，获得物攻+100%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",防御;火苗;引燃;流星火雨;力量增效;当头棒喝;焚烧烙印;高温回火;怒火;灼伤;热身;火云车;闪燃;拍击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;幻象;花香;冷风;噬心;虹光冲击;离子震荡;魅惑;念力膨胀;扬沙;溃烂触碰;泡沫;风矢;借用;偷袭;吞噬;导电撞击;摇篮曲;撕咬;晒太阳;诋毁;贪婪;跌落;过载回路;闪光冲击;麻痹,images/sprites/音速犬.png
48,风暴战犬,火,全神贯注,入场时，获得物攻+100%，每次行动后-20%。,"草,冰,虫,机械","水,地","草,冰,萌,虫,机械","水,地,龙",防御;火苗;引燃;流星火雨;力量增效;当头棒喝;焚烧烙印;高温回火;怒火;灼伤;热身;火云车;闪燃;拍击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰箭;幻象;花香;冷风;噬心;虹光冲击;离子震荡;魅惑;念力膨胀;扬沙;溃烂触碰;泡沫;风矢;借用;偷袭;吞噬;导电撞击;摇篮曲;撕咬;晒太阳;诋毁;贪婪;跌落;过载回路;闪光冲击;麻痹,images/sprites/风暴战犬.png
49,绿耳松鼠,普通,囤积,每有1能量，获得双防+10%。,,武,幽,"地,幽,机械",防御;落星;休息回复;拍击;耀眼;音波弹;防反;旋转突击;气势一击;抓挠;蓄能轰击;冲撞;吓退;突袭;无畏之心;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水泡盾;羽翼庇护;刺盾;化劲;取念;寸拳;影袭;气波;泥巴喷射;热身运动;硬化;硬门;落石;血气;追打;遁地;锐利眼神;音爆,images/sprites/绿耳松鼠.png
50,抱枕松鼠,普通,囤积,每有1能量，获得双防+10%。,,武,幽,"地,幽,机械",防御;落星;休息回复;拍击;耀眼;音波弹;防反;旋转突击;气势一击;抓挠;蓄能轰击;冲撞;吓退;突袭;无畏之心;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水泡盾;羽翼庇护;刺盾;化劲;取念;寸拳;影袭;气波;泥巴喷射;热身运动;硬化;硬门;落石;血气;追打;遁地;锐利眼神;音爆,images/sprites/抱枕松鼠.png
51,蹦床松鼠,普通,囤积,每有1能量，获得双防+10%。,,武,幽,"地,幽,机械",防御;落星;休息回复;拍击;耀眼;音波弹;防反;旋转突击;气势一击;抓挠;蓄能轰击;冲撞;吓退;突袭;无畏之心;星星撞击;等价交换;升龙咆哮;集中;贯手;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水泡盾;羽翼庇护;刺盾;化劲;取念;寸拳;影袭;气波;泥巴喷射;热身运动;硬化;硬门;落石;血气;追打;遁地;锐利眼神;音爆,images/sprites/蹦床松鼠.png
52,嘟嘟煲,毒,复方汤剂,回合结束时，中毒效果触发次数+1。,"草,萌","地,幻,恶","草,毒,虫,武,萌","地,毒,机械,幽",防御;毒泡泡;取念;拍击;毒孢子;腐蚀酸液;以毒攻毒;瘴气喷射;疫病吐息;落井下毒;毒雾;毒液渗透;剧毒;休息回复;贪婪;升龙咆哮;麻痹;化劲;火焰箭;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒沼;蓄水;羽化加速;吓退;应激反应;引燃;摇篮曲;易燃物质;晒太阳;激怒;炎枪;热身;热身运动;焚烧烙印;离子震荡;精神扰乱;轴承支撑,images/sprites/嘟嘟煲.png
53,嘟嘟锅,毒,复方汤剂,回合结束时，中毒效果触发次数+1。,"草,萌","地,幻,恶","草,毒,虫,武,萌","地,毒,机械,幽",防御;毒泡泡;取念;拍击;毒孢子;腐蚀酸液;以毒攻毒;瘴气喷射;疫病吐息;落井下毒;毒雾;毒液渗透;剧毒;休息回复;贪婪;升龙咆哮;麻痹;化劲;火焰箭;勾魂;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒沼;蓄水;羽化加速;吓退;应激反应;引燃;摇篮曲;易燃物质;晒太阳;激怒;炎枪;热身;热身运动;焚烧烙印;离子震荡;精神扰乱;轴承支撑,images/sprites/嘟嘟锅.png
54,小灵面,幽,惊吓,能量等于0的精灵，无法对自己造成伤害。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",防御;鬼火;勾魂;许愿星;取念;幽灵爆发;聒噪;报复;背袭;嘲弄;恐吓;降灵;恶作剧;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;力量吞噬;吓退;引燃;掠夺;摇篮曲;操控;暗箱操作;流火;激怒;热身;穿膛;精神扰乱;贪婪;黑手,images/sprites/小灵面.png
55,暗影灵面,幽,惊吓,能量等于0的精灵，无法对自己造成伤害。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",防御;鬼火;勾魂;许愿星;取念;幽灵爆发;聒噪;报复;背袭;嘲弄;恐吓;降灵;恶作剧;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;力量吞噬;吓退;引燃;掠夺;摇篮曲;操控;暗箱操作;流火;激怒;热身;穿膛;精神扰乱;贪婪;黑手,images/sprites/暗影灵面_睁眼的样子.png
55,暗影灵面,幽,惊吓,能量等于0的精灵，无法对自己造成伤害。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",防御;鬼火;勾魂;许愿星;取念;幽灵爆发;聒噪;报复;背袭;嘲弄;恐吓;降灵;恶作剧;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;力量吞噬;吓退;引燃;掠夺;摇篮曲;操控;暗箱操作;栽赃;流火;激怒;热身;穿膛;精神扰乱;贪婪,images/sprites/暗影灵面_睁眼的样子.png
56,幽冥眼,幽,惊吓,能量等于0的精灵，无法对自己造成伤害。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",防御;鬼火;勾魂;许愿星;取念;幽灵爆发;聒噪;报复;背袭;嘲弄;恐吓;降灵;恶作剧;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;力量吞噬;吓退;引燃;掠夺;摇篮曲;操控;暗箱操作;流火;激怒;热身;穿膛;精神扰乱;贪婪;黑手,images/sprites/幽冥眼_睁眼的样子.png
56,幽冥眼,幽,惊吓,能量等于0的精灵，无法对自己造成伤害。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",防御;鬼火;勾魂;许愿星;取念;幽灵爆发;聒噪;报复;背袭;嘲弄;恐吓;降灵;恶作剧;休息回复;诋毁;升龙咆哮;麻痹;化劲;火焰箭;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;力量吞噬;吓退;引燃;掠夺;摇篮曲;操控;暗箱操作;栽赃;流火;激怒;热身;穿膛;精神扰乱;贪婪,images/sprites/幽冥眼_睁眼的样子.png
57,梦游,幽,做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",拍击;借用;防御;恐吓;勾魂;午夜噪音;魔法增效;幽灵爆发;操控;背袭;降灵;热身运动;恶作剧;休息回复;贪婪;升龙咆哮;麻痹;化劲;引燃;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;飞吻;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;伪造账单;伺机而动;反弹;埋伏;掠夺;摇篮曲;撒娇;漫反射;灵光;破罐破摔;虚假破产;阻断;黑手,images/sprites/梦游_穿旧睡衣的样子.png
57,梦游,"幽,光",做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,,"光,幽,草","普通,毒,虫,武,幻",,,images/sprites/梦游_穿旧睡衣的样子.png
58,梦悠悠,幽,做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,"光,幻,幽","光,幽,恶","普通,毒,虫,武","普通,恶",拍击;借用;防御;恐吓;勾魂;午夜噪音;魔法增效;幽灵爆发;操控;背袭;降灵;热身运动;恶作剧;休息回复;贪婪;升龙咆哮;麻痹;化劲;引燃;灵媒;徒长;霜降;假寐;虹光冲击;啮合传递;飞吻;超维投射;泥浆铠甲;毒孢子;蓄水;羽化加速;伪造账单;伺机而动;反弹;埋伏;掠夺;摇篮曲;撒娇;漫反射;灵光;破罐破摔;虚假破产;阻断;黑手,images/sprites/梦悠悠_穿旧睡衣的样子.png
58,梦悠悠,"幽,光",做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,,"光,幽,草","普通,毒,虫,武,幻",,,images/sprites/梦悠悠_穿旧睡衣的样子.png
59,兽花蕾,"光,草",稀兽花宝,根据自己的血脉，入场时获得不同效果。,"水,光,地,幽,恶","幽,草,虫,火,冰,毒,翼","幻,恶,水,地,光,电","草,火,冰,龙,毒,虫,翼,机械",魔法增效;汲取;镜像反射;透射;徒长;光之矛;根吸收;顶端优势;退化;过曝;漫反射;迫近攻击;移花接木;叶绿光束;放晴;芳香诱引;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;折线冲击;啮合传递;碰爪;念力膨胀;泥浆铠甲;毒孢子;蓄水;羽化加速;借用;力量增效;孢子;应激反应;彗星;快速移动;扇风;折射;无畏之心;晒太阳;氧输送;疾风刺;盛开;闪光;防御;飞羽,images/sprites/兽花蕾.png
60,伏地兽,普通,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,,武,幽,"地,幽,机械",抓挠;力量增效;先发制人;防御;三连破;当头棒喝;热身运动;乘胜追击;摇篮曲;吞噬;连续爪击;阻断;偷袭;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;休息回复;伺机而动;压扁;反击拳;地刺;复写;尾后针;有效预防;精神扰乱;虫击;虫鸣;震击;飞断;食腐,images/sprites/伏地兽.png
61,贪食鼹,普通,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,,武,幽,"地,幽,机械",抓挠;力量增效;先发制人;防御;三连破;当头棒喝;热身运动;乘胜追击;摇篮曲;吞噬;连续爪击;阻断;偷袭;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;休息回复;伺机而动;压扁;反击拳;地刺;复写;尾后针;有效预防;精神扰乱;虫击;虫鸣;震击;飞断;食腐,images/sprites/贪食鼹.png
62,巨噬针鼹,普通,壮胆,队伍存在虫系精灵，自己获得双攻+50%。,,武,幽,"地,幽,机械",抓挠;力量增效;先发制人;防御;三连破;当头棒喝;热身运动;乘胜追击;摇篮曲;吞噬;连续爪击;阻断;偷袭;星星撞击;恶能量;升龙咆哮;球状闪电;缠丝劲;火焰冲锋;灵媒;花香;冰爪;噬心;透射;械斗;碰爪;星云漩涡;跺地;毒沼;泡沫;风矢;休息回复;伺机而动;压扁;反击拳;地刺;复写;尾后针;有效预防;精神扰乱;虫击;虫鸣;震击;飞断;食腐,images/sprites/巨噬针鼹.png
63,蹦蹦种子,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦种子_海神球形态.png
63,蹦蹦种子,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦种子_海神球形态.png
63,蹦蹦种子,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦种子_海神球形态.png
63,蹦蹦种子,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦种子_海神球形态.png
64,蹦蹦草,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦草_海神球形态.png
64,蹦蹦草,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦草_海神球形态.png
64,蹦蹦草,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦草_海神球形态.png
64,蹦蹦草,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦草_海神球形态.png
65,蹦蹦花,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦花_海神球形态.png
65,蹦蹦花,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦花_海神球形态.png
65,蹦蹦花,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦花_海神球形态.png
65,蹦蹦花,"草,毒",生物碱,使用草系技能时，敌方获得2层中毒。,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦花_海神球形态.png
65,蹦蹦果,"草,毒",高能生物碱 根吸收,使用技能时，敌方获得2层中毒,"草,水,光,萌","火,冰,翼,幻,恶","水,光,电,草,武,萌","毒,机械,火,龙,虫,翼,幽",根吸收;汲取;毒沼;毒孢子;防御;刺藤;孢子;蜡质膜;叶绿光束;针刺射击;腐化;毒液渗透;剧毒;仙人掌刺击;芳香诱引;落井下毒;星星撞击;贪婪;升龙咆哮;麻痹;化劲;引燃;勾魂;荆棘爪;霜降;假寐;虹光冲击;啮合传递;甜心续航;超维投射;泥浆铠甲;溃烂触碰;蓄水;羽化加速;反击拳;复写;应激反应;提气;晒太阳;棘刺;棘突;毒雾;气波;热身运动;盛开;移花接木;藤绞;见招拆招;许愿星;防反;预备势,images/sprites/蹦蹦果.png
66,电咩咩,电,快充,离场时回复10能量。,"水,翼",地,"翼,电,机械","地,龙,电,草",防御;球状闪电;加固;先发制人;远程访问;感电;电离爆破;集中;落雷;鼓劲;闪击折返;电磁偏转;强制重启;星星撞击;等价交换;升龙咆哮;触电;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水泡盾;风墙;偷袭;双联脉冲;取念;吓退;孢子;富养化;撒娇;月光合奏;热身运动;碰爪;纤维化;耀眼;血气;触底强击;酶浓度调整;防反;魔能爆,images/sprites/电咩咩.png
67,粉咩咩,电,快充,离场时回复10能量。,"水,翼",地,"翼,电,机械","地,龙,电,草",防御;球状闪电;加固;先发制人;远程访问;感电;电离爆破;集中;落雷;鼓劲;闪击折返;电磁偏转;强制重启;星星撞击;等价交换;升龙咆哮;触电;反击拳;火焰护盾;虚化;蜡质膜;雪替身;掩护;虹光冲击;离子震荡;魅惑;冥想;淤泥表皮;溃烂触碰;水泡盾;风墙;偷袭;双联脉冲;取念;吓退;孢子;富养化;撒娇;月光合奏;热身运动;碰爪;纤维化;耀眼;血气;触底强击;酶浓度调整;防反;魔能爆,images/sprites/粉咩咩.png
